ID,Title,Author,Year,Format,File
1,Tere liye - tentang kamu,Tereliye,2021,PDF,ebook/Tere liye - tentang kamu.pdf
2,Tere Liye - Bulan,Tereliye,2015,PDF,ebook/Tere Liye - Bulan.pdf
3,Bumi -Tere liye,Tereliye,2014,PDF, ebook/Bumi - Tere liye.pdf
4,Yang fana adalah waktu,Sapardi Djoko Damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
5,Ayah - Andrea Hirata,Andrea Hirata,2015,PDF,ebook/Ayah -Andrea Hirata.pdf
6,Syahadat cinta,Taufiqurrahman Al-Azizy,2008,PDF,ebook/Syahadat cinta.pdf
7,Andrea Hirata - EDENSOR,Andrea Hirata,2007,PDF,ebook/Andrea Hirata - EDENSOR.pdf
8,Royan Revolusi,Ramadhan K.H,1970,PDF,ebook/Royan Revolusi.pdf
9,Tereliye - Matahari,Tereliye,2016,PDF,ebook/Tereliye - Matahari.pdf
10,Konspirasi alam semesta,Fiersa Besari,2017,PDF,ebook/Konspirasi alam semesta.pdf
